Wavelength(nm),Glass_n,Glass_k
300,1.54495,1.12E-06
350,1.54495,1.12E-06
351,1.54478,1.06E-06
352,1.5446,1.00E-06
353,1.54442,9.47E-07
354,1.54424,8.89E-07
355,1.54406,8.31E-07
356,1.54388,7.73E-07
357,1.5437,7.15E-07
358,1.54352,6.58E-07
359,1.54334,6.00E-07
360,1.54316,5.42E-07
361,1.54299,5.28E-07
362,1.54283,5.15E-07
363,1.54266,5.01E-07
364,1.5425,4.88E-07
365,1.54233,4.74E-07
366,1.54217,4.60E-07
367,1.542,4.47E-07
368,1.54184,4.33E-07
369,1.54167,4.20E-07
370,1.54151,4.06E-07
371,1.54135,4.25E-07
372,1.5412,4.44E-07
373,1.54105,4.62E-07
374,1.5409,4.81E-07
375,1.54074,5.00E-07
376,1.54059,5.19E-07
377,1.54044,5.38E-07
378,1.54029,5.56E-07
379,1.54013,5.75E-07
380,1.53998,5.94E-07
381,1.53984,5.63E-07
382,1.5397,5.32E-07
383,1.53956,5.01E-07
384,1.53941,4.70E-07
385,1.53927,4.39E-07
386,1.53913,4.07E-07
387,1.53899,3.76E-07
388,1.53885,3.45E-07
389,1.53871,3.14E-07
390,1.53857,2.83E-07
391,1.53844,2.75E-07
392,1.5383,2.67E-07
393,1.53817,2.60E-07
394,1.53804,2.52E-07
395,1.53791,2.44E-07
396,1.53778,2.36E-07
397,1.53765,2.28E-07
398,1.53752,2.21E-07
399,1.53739,2.13E-07
400,1.53726,2.05E-07
401,1.53713,2.06E-07
402,1.53701,2.08E-07
403,1.53689,2.09E-07
404,1.53677,2.10E-07
405,1.53665,2.12E-07
406,1.53652,2.13E-07
407,1.5364,2.14E-07
408,1.53628,2.15E-07
409,1.53616,2.17E-07
410,1.53604,2.18E-07
411,1.53592,2.19E-07
412,1.53581,2.20E-07
413,1.5357,2.21E-07
414,1.53558,2.22E-07
415,1.53547,2.23E-07
416,1.53536,2.24E-07
417,1.53524,2.25E-07
418,1.53513,2.26E-07
419,1.53501,2.27E-07
420,1.5349,2.28E-07
421,1.5348,2.29E-07
422,1.53469,2.30E-07
423,1.53458,2.32E-07
424,1.53448,2.33E-07
425,1.53437,2.34E-07
426,1.53427,2.35E-07
427,1.53416,2.36E-07
428,1.53405,2.38E-07
429,1.53395,2.39E-07
430,1.53384,2.40E-07
431,1.53374,2.39E-07
432,1.53364,2.39E-07
433,1.53354,2.38E-07
434,1.53345,2.38E-07
435,1.53335,2.37E-07
436,1.53325,2.36E-07
437,1.53315,2.36E-07
438,1.53305,2.35E-07
439,1.53295,2.35E-07
440,1.53285,2.34E-07
441,1.53276,2.30E-07
442,1.53267,2.26E-07
443,1.53257,2.22E-07
444,1.53248,2.18E-07
445,1.53239,2.14E-07
446,1.53229,2.09E-07
447,1.5322,2.05E-07
448,1.53211,2.01E-07
449,1.53202,1.97E-07
450,1.53192,1.93E-07
451,1.53184,1.90E-07
452,1.53175,1.88E-07
453,1.53166,1.85E-07
454,1.53158,1.83E-07
455,1.53149,1.80E-07
