Wavelength(nm),vals
390,4.15E-04
391,5.03E-04
392,6.08E-04
393,7.34E-04
394,8.84E-04
395,1.06E-03
396,1.27E-03
397,1.50E-03
398,1.78E-03
399,2.10E-03
400,2.45E-03
401,2.85E-03
402,3.30E-03
403,3.80E-03
404,4.35E-03
405,4.97E-03
406,5.66E-03
407,6.42E-03
408,7.25E-03
409,8.14E-03
410,9.08E-03
411,1.01E-02
412,1.11E-02
413,1.21E-02
414,1.32E-02
415,1.43E-02
416,1.55E-02
417,1.66E-02
418,1.79E-02
419,1.91E-02
420,2.03E-02
421,2.14E-02
422,2.26E-02
423,2.37E-02
424,2.49E-02
425,2.61E-02
426,2.74E-02
427,2.87E-02
428,3.02E-02
429,3.17E-02
430,3.32E-02
431,3.48E-02
432,3.64E-02
433,3.81E-02
434,3.98E-02
435,4.16E-02
436,4.34E-02
437,4.52E-02
438,4.70E-02
439,4.87E-02
440,5.03E-02
441,5.19E-02
442,5.33E-02
443,5.47E-02
444,5.61E-02
445,5.74E-02
446,5.89E-02
447,6.03E-02
448,6.18E-02
449,6.33E-02
450,6.47E-02
451,6.61E-02
452,6.76E-02
453,6.90E-02
454,7.06E-02
455,7.24E-02
456,7.44E-02
457,7.66E-02
458,7.91E-02
459,8.20E-02
460,8.51E-02
461,8.87E-02
462,9.27E-02
463,9.69E-02
464,1.01E-01
465,1.06E-01
466,1.11E-01
467,1.16E-01
468,1.20E-01
469,1.25E-01
470,1.30E-01
471,1.35E-01
472,1.39E-01
473,1.44E-01
474,1.49E-01
475,1.54E-01
476,1.58E-01
477,1.63E-01
478,1.68E-01
479,1.74E-01
480,1.79E-01
481,1.84E-01
482,1.90E-01
483,1.95E-01
484,2.01E-01
485,2.06E-01
486,2.12E-01
487,2.18E-01
488,2.24E-01
489,2.31E-01
490,2.38E-01
491,2.46E-01
492,2.55E-01
493,2.64E-01
494,2.74E-01
495,2.85E-01
496,2.96E-01
497,3.09E-01
498,3.21E-01
499,3.34E-01
500,3.48E-01
501,3.63E-01
502,3.78E-01
503,3.94E-01
504,4.11E-01
505,4.28E-01
506,4.45E-01
507,4.64E-01
508,4.82E-01
